STOP_ID,BENCHES,SHELTERS,BIKERACKS,TRASHCANS,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
1072,1,0,0,1,WOODROW/DWYCE,S2127,006800,Woodrow,Dwyce,Austin,78757,,Bus Stop,Mid-Block,Northeast,,30.340170630000000,-97.726593910000000,Capital Metro,2022-08-16
1074,0,0,0,1,7115 WOODROW/PIEDMONT,S2129,007115,Woodrow,Piedmont,Austin,78757,,Bus Stop,Nearside,Southeast,,30.342849370000000,-97.724984400000000,Capital Metro,2022-08-16
1075,0,0,0,0,WOODROW/PASADENA,S2130,007300,Woodrow,Pasadena,Austin,78757,,Bus Stop,Nearside,Southeast,,30.344977060000000,-97.725209810000000,Capital Metro,2022-08-16
1076,1,0,0,0,WOODROW/MORROW,S2131,007500,Woodrow,Morrow,Austin,78757,,Bus Stop,Nearside,Southeast,,30.347429540000000,-97.723760900000000,Capital Metro,2022-08-16
1077,0,0,0,0,7717 WOODROW/PRINCETON,S2132,007717,Woodrow,Princeton,Austin,78757,,Bus Stop,Nearside,Northeast,,30.349890000000000,-97.723020000000000,Capital Metro,2022-08-16
1078,1,0,0,1,1700 ANDERSON/WOOTEN PARK,440NB,001700,Anderson,Wooten Park,Austin,78757,,Bus Stop,Mid-Block,Northwest,,30.352790000000000,-97.723620000000000,Capital Metro,2022-08-16
1080,1,0,0,1,ANDERSON/MULLEN,S1939,001900,Anderson,Mullen,Austin,78757,,Bus Stop,Farside,Northwest,,30.354010000000000,-97.726220000000000,Capital Metro,2022-08-16
1085,0,0,0,1,JACKIE ROBINSON/DELANO,S1297,005500,Jackie Robinson,Delano,Austin,78721,,Bus Stop,Nearside,Northeast,,30.276587950000000,-97.678349780000000,Capital Metro,2022-08-16
1089,0,0,0,1,1420 WEBBERVILLE/FORT BRANCH,S1320,001420,Webberville,Fort Branch,Austin,78721,,Bus Stop,Farside,Northwest,,30.279889730000000,-97.681063100000000,Capital Metro,2022-08-16
1091,0,0,0,0,12TH/WEBBERVILLE,S1324,004700,12Th,Webberville,Austin,78721,,Bus Stop,Farside,Northwest,,30.278360740000000,-97.685478080000000,Capital Metro,2022-08-16
